,ID,Collection,Sample type,Short name for contribution,Sampling date,Analysis date,Instrument setup used,Monitored City,Monitored country,Latitude,Longitude,Alive or not,Basis of measurement,Biota species name (in Latin),Distance from the river source (km),Fat content (% of total wet matter),"Name of river, estuary, lake, reservoir, sea",Number of orgnanisms,Origin of biota,Proxy pressures,River basin name,Size (mm),Species group,Tissue,Water content(%),Weight (kg),field_country
0,19010,Black-tailed godwit samples,Blank Sample,Procedural blank for NIOZ,"Wed, 01/01/2020 - 22:00","Wed, 11/27/2019 - 22:00",LC-Bruker maXis QTOF: Submission #11,Amsterdam,Netherlands,52.368112,4.77557,1,Wet weight,Limosa limosa,,,Netherlands,1,Terrestrial environment,,,,Bird (22511),Liver,71,,Netherlands
1,19011,Black-tailed godwit samples,Blank Sample,Procedural blank for NIOZ,"Wed, 01/01/2020 - 22:00","Wed, 11/27/2019 - 22:00",LC-Bruker maXis QTOF: Submission #10,Amsterdam,Netherlands,52.368112,4.77557,1,Wet weight,Limosa limosa,,,Netherlands,1,Terrestrial environment,,,,Bird (22511),Liver,71,,Netherlands
2,19012,Black-tailed godwit samples,Real Sample,Black-tailed godwit liver from the Netherlands NIOZ 11,"Wed, 01/01/2020 - 22:00","Wed, 11/27/2019 - 22:00",LC-Bruker maXis QTOF: Submission #11,Amsterdam,Netherlands,52.368112,4.77557,1,Wet weight,Limosa limosa,,,Netherlands,1,Terrestrial environment,,,,Bird (22511),Liver,75,,Netherlands
3,19013,Black-tailed godwit samples,Real Sample,Black-tailed godwit liver from the Netherlands NIOZ 11,"Wed, 01/01/2020 - 22:00","Wed, 11/27/2019 - 22:00",LC-Bruker maXis QTOF: Submission #10,Amsterdam,Netherlands,52.368112,4.77557,1,Wet weight,Limosa limosa,,,Netherlands,1,Terrestrial environment,,,,Bird (22511),Liver,75,,Netherlands
4,19014,Black-tailed godwit samples,Real Sample,Black-tailed godwit liver from the Netherlands NIOZ 10,"Wed, 01/01/2020 - 22:00","Wed, 11/27/2019 - 22:00",LC-Bruker maXis QTOF: Submission #11,Amsterdam,Netherlands,52.368112,4.77557,1,Wet weight,Limosa limosa,,,Netherlands,1,Terrestrial environment,,,,Bird (22511),Liver,73,,Netherlands
5,19015,Black-tailed godwit samples,Real Sample,Black-tailed godwit liver from the Netherlands NIOZ 10,"Wed, 01/01/2020 - 22:00","Wed, 11/27/2019 - 22:00",LC-Bruker maXis QTOF: Submission #10,Amsterdam,Netherlands,52.368112,4.77557,1,Wet weight,Limosa limosa,,,Netherlands,1,Terrestrial environment,,,,Bird (22511),Liver,73,,Netherlands
6,19016,Black-tailed godwit samples,Real Sample,Black-tailed godwit liver from the Netherlands NIOZ 9,"Wed, 01/01/2020 - 22:00","Wed, 11/27/2019 - 22:00",LC-Bruker maXis QTOF: Submission #11,Amsterdam,Netherlands,52.368112,4.77557,1,Wet weight,Limosa limosa,,,Netherlands,1,Terrestrial environment,,,,Bird (22511),Liver,70,,Netherlands
7,19017,Black-tailed godwit samples,Real Sample,Black-tailed godwit liver from the Netherlands NIOZ 9,"Wed, 01/01/2020 - 22:00","Wed, 11/27/2019 - 22:00",LC-Bruker maXis QTOF: Submission #10,Amsterdam,Netherlands,52.368112,4.77557,1,Wet weight,Limosa limosa,,,Netherlands,1,Terrestrial environment,,,,Bird (22511),Liver,70,,Netherlands
8,19018,Black-tailed godwit samples,Real Sample,Black-tailed godwit liver from the Netherlands NIOZ 8,"Wed, 01/01/2020 - 22:00","Wed, 11/27/2019 - 22:00",LC-Bruker maXis QTOF: Submission #11,Amsterdam,Netherlands,52.368112,4.77557,1,Wet weight,Limosa limosa,,,Netherlands,1,Terrestrial environment,,,,Bird (22511),Liver,71,,Netherlands
9,19019,Black-tailed godwit samples,Real Sample,Black-tailed godwit liver from the Netherlands NIOZ 8,"Wed, 01/01/2020 - 22:00","Wed, 11/27/2019 - 22:00",LC-Bruker maXis QTOF: Submission #10,Amsterdam,Netherlands,52.368112,4.77557,1,Wet weight,Limosa limosa,,,Netherlands,1,Terrestrial environment,,,,Bird (22511),Liver,71,,Netherlands
10,19020,Black-tailed godwit samples,Real Sample,Black-tailed godwit liver from the Netherlands NIOZ 7,"Wed, 01/01/2020 - 22:00","Wed, 11/27/2019 - 22:00",LC-Bruker maXis QTOF: Submission #11,Amsterdam,Netherlands,52.368112,4.77557,1,Wet weight,Limosa limosa,,,Netherlands,1,Terrestrial environment,,,,Bird (22511),Liver,73,,Netherlands
11,19021,Black-tailed godwit samples,Real Sample,Black-tailed godwit liver from the Netherlands NIOZ 7,"Wed, 01/01/2020 - 22:00","Wed, 11/27/2019 - 22:00",LC-Bruker maXis QTOF: Submission #10,Amsterdam,Netherlands,52.368112,4.77557,1,Wet weight,Limosa limosa,,,Netherlands,1,Terrestrial environment,,,,Bird (22511),Liver,73,,Netherlands
12,19022,Black-tailed godwit samples,Real Sample,Black-tailed godwit liver from the Netherlands NIOZ 6,"Wed, 01/01/2020 - 22:00","Wed, 11/27/2019 - 22:00",LC-Bruker maXis QTOF: Submission #11,Amsterdam,Netherlands,52.368112,4.77557,1,Wet weight,Limosa limosa,,,Netherlands,1,Terrestrial environment,,,,Bird (22511),Liver,71,,Netherlands
13,19023,Black-tailed godwit samples,Real Sample,Black-tailed godwit liver from the Netherlands NIOZ 6,"Wed, 01/01/2020 - 22:00","Wed, 11/27/2019 - 22:00",LC-Bruker maXis QTOF: Submission #10,Amsterdam,Netherlands,52.368112,4.77557,1,Wet weight,Limosa limosa,,,Netherlands,1,Terrestrial environment,,,,Bird (22511),Liver,71,,Netherlands
14,19024,Black-tailed godwit samples,Real Sample,Black-tailed godwit liver from the Netherlands NIOZ 5,"Wed, 01/01/2020 - 22:00","Wed, 11/27/2019 - 22:00",LC-Bruker maXis QTOF: Submission #11,Amsterdam,Netherlands,52.368112,4.77557,1,Wet weight,Limosa limosa,,,Netherland,1,Terrestrial environment,,,,Bird (22511),Liver,70,,Netherlands
15,19025,Black-tailed godwit samples,Real Sample,Black-tailed godwit liver from the Netherlands NIOZ 5,"Wed, 01/01/2020 - 22:00","Wed, 11/27/2019 - 22:00",LC-Bruker maXis QTOF: Submission #10,Amsterdam,Netherlands,52.368112,4.77557,1,Wet weight,Limosa limosa,,,Netherland,1,Terrestrial environment,,,,Bird (22511),Liver,70,,Netherlands
