,ID,Collection,Sample type,Short name for contribution,Sampling date,Analysis date,Instrument setup used,Monitored City,Monitored country,Latitude,Longitude,Alive or not,Basis of measurement,Biota species name (in Latin),Distance from the river source (km),Fat content (% of total wet matter),"Name of river, estuary, lake, reservoir, sea",Number of orgnanisms,Origin of biota,Proxy pressures,River basin name,Size (mm),Species group,Tissue,Water content(%),Weight (kg),field_country
0,25204,MILBY2023,Real Sample,23/2216_Brown rat liver,"Mon, 04/24/2023 - 13:00","Fri, 08/08/2025 - 13:00",GC-Orbitrap_Q Exactive: Submission #117,,,59.9146,10.75439,,Wet weight,Rattus norvegicus,,2.98,,,Terrestrial environment,,,,Rat (22635),Liver,,,
1,25205,MILBY2023,Real Sample,23/2222_Rowan leaves,"Tue, 07/11/2023 - 13:00","Fri, 08/08/2025 - 13:00",GC-Orbitrap_Q Exactive: Submission #117,,,59.80793,10.7024,,Wet weight,Sorbus aucuparia,,,,,Terrestrial environment,,,,Vegetation (22756),Leaves,,,
2,25206,MILBY2023,Real Sample,23/2223_Rowan leaves,"Tue, 07/11/2023 - 13:00","Fri, 08/08/2025 - 13:00",GC-Orbitrap_Q Exactive: Submission #117,,,,,,Wet weight,Sorbus aucuparia,,,,,Terrestrial environment,,,,Vegetation (22756),Leaves,,,
3,25209,MILBY2023,Real Sample,23/2224_Rowan leaves,"Tue, 07/11/2023 - 13:00","Fri, 08/08/2025 - 13:00",GC-Orbitrap_Q Exactive: Submission #117,,,59.88986,10.77712,,Wet weight,Sorbus aucuparia,,,,,Terrestrial environment,,,,Vegetation (22756),Leaves,,,
4,25210,MILBY2023,Real Sample,23/2225_Rowan leaves,"Tue, 07/11/2023 - 13:00","Fri, 08/08/2025 - 13:00",GC-Orbitrap_Q Exactive: Submission #117,,,59.94709,10.89684,,Wet weight,Sorbus aucuparia,,,,,Terrestrial environment,,,,Vegetation (22756),Leaves,,,
5,25211,MILBY2023,Real Sample,23/2217_Roe deer liver,"Tue, 06/06/2023 - 13:00","Fri, 08/08/2025 - 13:00",GC-Orbitrap_Q Exactive: Submission #117,,,59.79413,10.61235,,Wet weight,Capreolus capreolus,,3.15,,,Terrestrial environment,,,,Deer (22757),Liver,,,
6,25212,MILBY2023,Real Sample,23/2218_Roe deer liver,"Tue, 06/06/2023 - 13:00","Fri, 08/08/2025 - 13:00",GC-Orbitrap_Q Exactive: Submission #117,,,59.85045,10.65712,,Wet weight,Capreolus capreolus,,2.5,,,Terrestrial environment,,,,Deer (22757),Liver,,,
7,25213,MILBY2023,Real Sample,23/2219_Roe deer liver,"Tue, 08/29/2023 - 13:00","Fri, 08/08/2025 - 13:00",GC-Orbitrap_Q Exactive: Submission #117,,,59.90699,10.59445,,Wet weight,Capreolus capreolus,,2.49,,,Terrestrial environment,,,,Deer (22757),Liver,,,
8,25214,MILBY2023,Real Sample,23/2220_Roe deer liver,"Tue, 09/05/2023 - 13:00","Fri, 08/08/2025 - 13:00",GC-Orbitrap_Q Exactive: Submission #117,,,59.94229,10.57837,,Wet weight,Capreolus capreolus,,2.26,,,Terrestrial environment,,,,Deer (22757),Liver,,,
9,25215,MILBY2023,Real Sample,23/2221_Roe deer liver,"Sun, 08/20/2023 - 13:00","Fri, 08/08/2025 - 13:00",GC-Orbitrap_Q Exactive: Submission #117,,,59.94716,10.51443,,Wet weight,Capreolus capreolus,,1.84,,,Terrestrial environment,,,,Deer (22757),Liver,,,
10,25310,MILBY2023,Real Sample,23/2216_Brown rat liver,"Mon, 04/24/2023 - 13:00","Fri, 12/01/2023 - 13:00",LC-Orbitrap_QExactivePlus: Submission #118,,,59.9146,10.75439,,Wet weight,Rattus norvegicus,,2.98,,,Terrestrial environment,,,,Rat (22635),Liver,,,
11,25311,MILBY2023,Real Sample,23/2222_Rowan leaves,"Tue, 07/11/2023 - 13:00","Sun, 01/07/2024 - 13:00",LC-Orbitrap_QExactivePlus: Submission #118,,,59.80793,10.7024,,Wet weight,Sorbus aucuparia,,,,,Terrestrial environment,,,,Vegetation (22756),Leaves,,,
12,25312,MILBY2023,Real Sample,23/2223_Rowan leaves,"Tue, 07/11/2023 - 13:00","Thu, 12/07/2023 - 13:00",LC-Orbitrap_QExactivePlus: Submission #118,,,,,,Wet weight,Sorbus aucuparia,,,,,Terrestrial environment,,,,Vegetation (22756),Leaves,,,
13,25313,MILBY2023,Real Sample,23/2224_Rowan leaves,"Tue, 07/11/2023 - 13:00","Thu, 12/07/2023 - 13:00",LC-Orbitrap_QExactivePlus: Submission #118,,,59.88986,10.77712,,Wet weight,Sorbus aucuparia,,,,,Terrestrial environment,,,,Vegetation (22756),Leaves,,,
14,25314,MILBY2023,Real Sample,23/2225_Rowan leaves,"Tue, 07/11/2023 - 13:00","Thu, 12/07/2023 - 13:00",LC-Orbitrap_QExactivePlus: Submission #118,,,59.94709,10.89684,,Wet weight,Sorbus aucuparia,,,,,Terrestrial environment,,,,Vegetation (22756),Leaves,,,
