,ID,Collection,Sample type,Short name for contribution,Sampling date,Analysis date,Instrument setup used,Monitored City,Monitored country,Latitude,Longitude,Alive or not,Basis of measurement,Biota species name (in Latin),Distance from the river source (km),Fat content (% of total wet matter),"Name of river, estuary, lake, reservoir, sea",Number of orgnanisms,Origin of biota,Proxy pressures,River basin name,Size (mm),Species group,Tissue,Water content(%),Weight (kg),field_country
0,19220,CONNECT I+II LC,Real Sample,CONNECT 35 Mytilus edulis from Villerville,"Sat, 04/03/2021 - 22:00","Sat, 02/27/2021 - 22:00",LC-Bruker maXis QTOF: Submission #11,Villerville,France,49.416802,0.103191,1,Wet weight,Mytilus edulis,,,English Channel,,Coastal region,,English Channel,,Molluscs (22488),Muscle,78.6,,France
1,19221,CONNECT I+II LC,Real Sample,CONNECT 35 Mytilus edulis from Villerville,"Sat, 04/03/2021 - 22:00","Sat, 02/27/2021 - 22:00",LC-Bruker maXis QTOF: Submission #10,Villerville,France,49.416802,0.103191,1,Wet weight,Mytilus edulis,,,English Channel,,Coastal region,,English Channel,,Molluscs (22488),Muscle,78.6,,France
2,19222,CONNECT I+II LC,Real Sample,CONNECT 36 Mytilus edulis from Chausey,"Sun, 02/28/2021 - 22:00","Sun, 01/24/2021 - 22:00",LC-Bruker maXis QTOF: Submission #11,Chausey,France,48.890261,-1.843798,1,Wet weight,Mytilus edulis,,,English Channel,,Coastal region,,English Channel,,Molluscs (22488),Muscle,82.3,,France
3,19223,CONNECT I+II LC,Real Sample,CONNECT 36 Mytilus edulis from Chausey,"Sun, 02/28/2021 - 22:00","Sun, 01/24/2021 - 22:00",LC-Bruker maXis QTOF: Submission #10,Chausey,France,48.890261,-1.843798,1,Wet weight,Mytilus edulis,,,English Channel,,Coastal region,,English Channel,,Molluscs (22488),Muscle,82.3,,France
4,19224,CONNECT I+II LC,Real Sample,CONNECT 37 Mytilus Galloprovincialis from Carteau,"Mon, 03/01/2021 - 22:00","Mon, 01/25/2021 - 22:00",LC-Bruker maXis QTOF: Submission #11,Carteau,France,43.324639,4.811751,1,Wet weight,Mytilus Galloprovincialis,,,Mediterranean sea,,Coastal region,,Mediterranean sea,,Molluscs (22488),Muscle,84.2,,France
5,19225,CONNECT I+II LC,Real Sample,CONNECT 37 Mytilus Galloprovincialis from Carteau,"Mon, 03/01/2021 - 22:00","Mon, 01/25/2021 - 22:00",LC-Bruker maXis QTOF: Submission #10,Carteau,France,43.324639,4.811751,1,Wet weight,Mytilus Galloprovincialis,,,Mediterranean sea,,Coastal region,,Mediterranean sea,,Molluscs (22488),Muscle,84.2,,France
6,19226,CONNECT I+II LC,Real Sample,CONNECT 38 Platichthys flesus from the Netherlands,"Wed, 08/12/2020 - 22:00","Wed, 07/08/2020 - 22:00",LC-Bruker maXis QTOF: Submission #11,Amsterdam,Netherlands,52.799948,4.573844,1,Wet weight,Platichthys flesus,,,North Sea,,Coastal region,,North Sea,,Molluscs (22488),Muscle,78.0,,Netherlands
7,19227,CONNECT I+II LC,Real Sample,CONNECT 38 Platichthys flesus from the Netherlands,"Wed, 08/12/2020 - 22:00","Wed, 07/08/2020 - 22:00",LC-Bruker maXis QTOF: Submission #10,Amsterdam,Netherlands,52.799948,4.573844,1,Wet weight,Platichthys flesus,,,North Sea,,Coastal region,,North Sea,,Molluscs (22488),Muscle,78.0,,Netherlands
8,19228,CONNECT I+II LC,Real Sample,CONNECT 39 Platichthys flesus from the Netherlands,"Mon, 08/10/2020 - 22:00","Mon, 07/06/2020 - 22:00",LC-Bruker maXis QTOF: Submission #11,Amsterdam,Netherlands,52.735691,4.570985,1,Wet weight,Platichthys flesus,,,North Sea,,Coastal region,,North Sea,,Molluscs (22488),Muscle,78.0,,Netherlands
9,19229,CONNECT I+II LC,Real Sample,CONNECT 39 Platichthys flesus from the Netherlands,"Mon, 08/10/2020 - 22:00","Mon, 07/06/2020 - 22:00",LC-Bruker maXis QTOF: Submission #10,Amsterdam,Netherlands,52.735691,4.570985,1,Wet weight,Platichthys flesus,,,North Sea,,Coastal region,,North Sea,,Molluscs (22488),Muscle,78.0,,Netherlands
10,19230,CONNECT I+II LC,Real Sample,CONNECT 40 Platichthys flesus from the Netherlands,"Tue, 08/25/2020 - 22:00","Tue, 07/21/2020 - 22:00",LC-Bruker maXis QTOF: Submission #11,Amsterdam,Netherlands,52.666887,4.56763,1,Wet weight,Platichthys flesus,,,North Sea,,Coastal region,,North Sea,,Molluscs (22488),Muscle,79.0,,Netherlands
11,19231,CONNECT I+II LC,Real Sample,CONNECT 40 Platichthys flesus from the Netherlands,"Tue, 08/25/2020 - 22:00","Tue, 07/21/2020 - 22:00",LC-Bruker maXis QTOF: Submission #10,Amsterdam,Netherlands,52.666887,4.56763,1,Wet weight,Platichthys flesus,,,North Sea,,Coastal region,,North Sea,,Molluscs (22488),Muscle,79.0,,Netherlands
12,19232,CONNECT I+II LC,Real Sample,CONNECT 41 Ostrea edulis from the Netherlands,"Sat, 08/01/2020 - 22:00","Sat, 06/27/2020 - 22:00",LC-Bruker maXis QTOF: Submission #11,Amsterdam,Netherlands,52.606892,4.56725,1,Wet weight,Ostrea edulis,,,North Sea,,Coastal region,,North Sea,,Molluscs (22488),Muscle,90.0,,Netherlands
13,19233,CONNECT I+II LC,Real Sample,CONNECT 41 Ostrea edulis from the Netherlands,"Sat, 08/01/2020 - 22:00","Sat, 06/27/2020 - 22:00",LC-Bruker maXis QTOF: Submission #10,Amsterdam,Netherlands,52.606892,4.56725,1,Wet weight,Ostrea edulis,,,North Sea,,Coastal region,,North Sea,,Molluscs (22488),Muscle,90.0,,Netherlands
14,19234,CONNECT I+II LC,Real Sample,CONNECT 42 Ostrea edulis from the Netherlands,"Sat, 08/01/2020 - 22:00","Sat, 06/27/2020 - 22:00",LC-Bruker maXis QTOF: Submission #11,Amsterdam,Netherlands,52.555727,4.561124,1,Wet weight,Ostrea edulis,,,North Sea,,Coastal region,,North Sea,,Molluscs (22488),Muscle,90.0,,Netherlands
15,19235,CONNECT I+II LC,Real Sample,CONNECT 42 Ostrea edulis from the Netherlands,"Sat, 08/01/2020 - 22:00","Sat, 06/27/2020 - 22:00",LC-Bruker maXis QTOF: Submission #10,Amsterdam,Netherlands,52.555727,4.561124,1,Wet weight,Ostrea edulis,,,North Sea,,Coastal region,,North Sea,,Molluscs (22488),Muscle,90.0,,Netherlands
16,19236,CONNECT I+II LC,Real Sample,CONNECT 43 Ostrea edulis from the Netherlands,"Sat, 08/01/2020 - 22:00","Sat, 06/27/2020 - 22:00",LC-Bruker maXis QTOF: Submission #11,Amsterdam,Netherlands,52.448188,4.532678,1,Wet weight,Ostrea edulis,,,North Sea,,Coastal region,,North Sea,,Molluscs (22488),Muscle,90.0,,Netherlands
17,19237,CONNECT I+II LC,Real Sample,CONNECT 43 Ostrea edulis from the Netherlands,"Sat, 08/01/2020 - 22:00","Sat, 06/27/2020 - 22:00",LC-Bruker maXis QTOF: Submission #10,Amsterdam,Netherlands,52.448188,4.532678,1,Wet weight,Ostrea edulis,,,North Sea,,Coastal region,,North Sea,,Molluscs (22488),Muscle,90.0,,Netherlands
18,19238,CONNECT I+II LC,Real Sample,CONNECT 44 Ostrea edulis from the Netherlands,"Sat, 08/01/2020 - 22:00","Sat, 06/27/2020 - 22:00",LC-Bruker maXis QTOF: Submission #11,Amsterdam,Netherlands,52.418467,4.448686,1,Wet weight,Ostrea edulis,,,North Sea,,Coastal region,,North Sea,,Molluscs (22488),Muscle,91.0,,Netherlands
19,19239,CONNECT I+II LC,Real Sample,CONNECT 44 Ostrea edulis from the Netherlands,"Sat, 08/01/2020 - 22:00","Sat, 06/27/2020 - 22:00",LC-Bruker maXis QTOF: Submission #10,Amsterdam,Netherlands,52.418467,4.448686,1,Wet weight,Ostrea edulis,,,North Sea,,Coastal region,,North Sea,,Molluscs (22488),Muscle,91.0,,Netherlands
20,19240,CONNECT I+II LC,Real Sample,CONNECT 45 Ostrea edulis from the Netherlands,"Sat, 08/01/2020 - 22:00","Sat, 06/27/2020 - 22:00",LC-Bruker maXis QTOF: Submission #11,Amsterdam,Netherlands,52.558967,4.468311,1,Wet weight,Ostrea edulis,,,North Sea,,Coastal region,,North Sea,,Molluscs (22488),Muscle,91.0,,Netherlands
21,19241,CONNECT I+II LC,Real Sample,CONNECT 45 Ostrea edulis from the Netherlands,"Sat, 08/01/2020 - 22:00","Sat, 06/27/2020 - 22:00",LC-Bruker maXis QTOF: Submission #10,Amsterdam,Netherlands,52.558967,4.468311,1,Wet weight,Ostrea edulis,,,North Sea,,Coastal region,,North Sea,,Molluscs (22488),Muscle,91.0,,Netherlands
22,19242,CONNECT I+II LC,Real Sample,CONNECT 46 Ostrea edulis from the Netherlands,"Sat, 08/01/2020 - 22:00","Sat, 06/27/2020 - 22:00",LC-Bruker maXis QTOF: Submission #11,Amsterdam,Netherlands,52.431252,4.384624,1,Wet weight,Ostrea edulis,,,North Sea,,Coastal region,,North Sea,,Molluscs (22488),Muscle,91.0,,Netherlands
23,19243,CONNECT I+II LC,Real Sample,CONNECT 46 Ostrea edulis from the Netherlands,"Sat, 08/01/2020 - 22:00","Sat, 06/27/2020 - 22:00",LC-Bruker maXis QTOF: Submission #10,Amsterdam,Netherlands,52.431252,4.384624,1,Wet weight,Ostrea edulis,,,North Sea,,Coastal region,,North Sea,,Molluscs (22488),Muscle,91.0,,Netherlands
24,19799,CONNECT I+II LC,Blank Sample,Procedural Blank CONNECT 31-32,"Wed, 01/01/2020 - 22:00","Wed, 11/27/2019 - 22:00",LC-Bruker maXis QTOF: Submission #11,Praia de Samil,Spain,42.0949085,-8.8316915,1,Wet weight,Mytilus edulis,,,Rio Lagares River basin,,Coastal region,,Rio Lagares River,,Molluscs (22488),Muscle,,,Spain
25,19800,CONNECT I+II LC,Blank Sample,Procedural Blank CONNECT 31-32,"Wed, 01/01/2020 - 22:00","Wed, 11/27/2019 - 22:00",LC-Bruker maXis QTOF: Submission #10,Praia de Samil,Spain,42.0949085,-8.8316915,1,Wet weight,Mytilus edulis,,,Rio Lagares River basin,,Coastal region,,Rio Lagares River,,Molluscs (22488),Muscle,,,Spain
26,19801,CONNECT I+II LC,Real Sample,CONNECT 32 Mytilus edulis from Praia de Samil,"Tue, 02/11/2020 - 22:00","Tue, 01/07/2020 - 22:00",LC-Bruker maXis QTOF: Submission #11,Praia de Samil,Spain,42.219617,-8.776733,1,Wet weight,Mytilus edulis,,,Rio Lagares River basin,,Coastal region,,Rio Lagares River,,Molluscs (22488),Muscle,,,Spain
27,19802,CONNECT I+II LC,Real Sample,CONNECT 32 Mytilus edulis from Praia de Samil,"Tue, 02/11/2020 - 22:00","Tue, 01/07/2020 - 22:00",LC-Bruker maXis QTOF: Submission #10,Praia de Samil,Spain,42.219617,-8.776733,1,Wet weight,Mytilus edulis,,,Rio Lagares River basin,,Coastal region,,Rio Lagares River,,Molluscs (22488),Muscle,,,Spain
28,19803,CONNECT I+II LC,Real Sample,CONNECT 31 Mytilus edulis from Oia,"Tue, 03/10/2020 - 22:00","Tue, 02/04/2020 - 22:00",LC-Bruker maXis QTOF: Submission #11,Oia,Spain,41.9702,-8.88665,1,Wet weight,Mytilus edulis,,,Rio Lagares River basin,,Coastal region,,Rio Lagares River,,Molluscs (22488),Muscle,,,Portugal
29,19804,CONNECT I+II LC,Real Sample,CONNECT 31 Mytilus edulis from Oia,"Tue, 03/10/2020 - 22:00","Tue, 02/04/2020 - 22:00",LC-Bruker maXis QTOF: Submission #10,Oia,Spain,41.9702,-8.88665,1,Wet weight,Mytilus edulis,,,Rio Lagares River basin,,Coastal region,,Rio Lagares River,,Molluscs (22488),Muscle,,,Portugal
30,19805,CONNECT I+II LC,Blank Sample,Procedural Blank CONNECT 01-30,"Tue, 01/01/2019 - 22:00","Tue, 11/27/2018 - 22:00",LC-Bruker maXis QTOF: Submission #11,London,UK,51.5,0.5,1,Wet weight,,,,,,Coastal region,,,,Other (22510),Muscle,,,Canada
31,19806,CONNECT I+II LC,Blank Sample,Procedural Blank CONNECT 01-30,"Tue, 01/01/2019 - 22:00","Tue, 11/27/2018 - 22:00",LC-Bruker maXis QTOF: Submission #10,London,UK,51.5,0.5,1,Wet weight,,,,,,Coastal region,,,,Other (22510),Muscle,,,Canada
32,19807,CONNECT I+II LC,Real Sample,CONNECT 30 Mytilus edulis from Industrial outlet,"Mon, 10/12/2020 - 22:00","Mon, 09/07/2020 - 22:00",LC-Bruker maXis QTOF: Submission #11,Industrial outlet,Denmark,55.19735,11.2592,1,Wet weight,Mytilus edulis,,,Baltic Sea,,Coastal region,,Baltic Sea,,Molluscs (22488),Muscle,,,Denmark
33,19808,CONNECT I+II LC,Real Sample,CONNECT 30 Mytilus edulis from Industrial outlet,"Mon, 10/12/2020 - 22:00","Mon, 09/07/2020 - 22:00",LC-Bruker maXis QTOF: Submission #10,Industrial outlet,Denmark,55.19735,11.2592,1,Wet weight,Mytilus edulis,,,Baltic Sea,,Coastal region,,Baltic Sea,,Molluscs (22488),Muscle,,,Denmark
