ID,Collection,Sample type,Short name for contribution,Sampling date,Analysis date,Instrument setup used,Monitored City,Monitored country,Latitude,Longitude,Type of Surface water,Surface water fraction,Surface of the area (km^2),SPM concentration (mg/L),Depth (m),pH,Temperature (°C),Dissolved organic carbon (mg/L),"Name of river, estuary, lake, reservoir or sea",River basin name,Distance from the river source (km),Proxy pressures,Type of sampling depth,matrix,Name of surface water (river/estuary/lake/reservoir/sea),Sediment Fraction,Origin of Sediment,Sediment Type,Sludge total organic carbon (% of total dry weight),Groundwater fraction
23137,Destruction of the Kakhovka Dam LC,Real Sample,Surface water from Odesa in Ukraine after Kakhovka dam deconstruction DnieperII-10,"Wed, 07/05/2023 - 03:00","Wed, 08/30/2023 - 03:00",10,Odesa,,46.39935,30.7603,River water,Whole water with determination on each separate phase (sum of all phases),,,0.1,,,,Dnieper river,Dnieper river basin,,,Spot sampling,surface-water,,,,,,
23138,Destruction of the Kakhovka Dam LC,Real Sample,Surface water from Odesa in Ukraine after Kakhovka dam deconstruction DnieperII-11,"Thu, 07/06/2023 - 03:00","Wed, 08/30/2023 - 03:00",10,Odesa,,46.438433,30.7725,River water,Whole water with determination on each separate phase (sum of all phases),,,0.1,,,,Dnieper river,Dnieper river basin,,,Spot sampling,surface-water,,,,,,
23148,Destruction of the Kakhovka Dam LC,Blank Sample,Blank surface water for Kakhovka dam deconstruction project Neg,"Tue, 07/04/2023 - 03:00","Wed, 08/30/2023 - 03:00",11,Kherson,,47.02,32.8,River water,Whole water with determination on each separate phase (sum of all phases),,,0.1,,,,Dnieper river,Dnieper river basin,,,Spot sampling,surface-water,,,,,,
23150,Destruction of the Kakhovka Dam LC,Real Sample,Surface water from Kherson in Ukraine after Kakhovka dam deconstruction DnieperII-01 Neg,"Thu, 06/15/2023 - 03:00","Wed, 08/30/2023 - 03:00",11,Kherson,,46.634971,32.6335479,River water,Whole water with determination on each separate phase (sum of all phases),,,0.1,,,,Dnieper river,Dnieper river basin,,,Spot sampling,surface-water,,,,,,
23151,Destruction of the Kakhovka Dam LC,Real Sample,Surface water from Bilozirka in Ukraine after Kakhovka dam deconstruction DnieperII-02 Neg,"Thu, 06/15/2023 - 03:00","Wed, 08/30/2023 - 03:00",11,Bilozirka,,46.6327228,32.4526822,River water,Whole water with determination on each separate phase (sum of all phases),,,0.1,,,,Dnieper river,Dnieper river basin,,,Spot sampling,surface-water,,,,,,
23152,Destruction of the Kakhovka Dam LC,Real Sample,Surface water from Sofiivka in Ukraine after Kakhovka dam deconstruction DnieperII-03 Neg,"Thu, 06/15/2023 - 03:00","Wed, 08/30/2023 - 03:00",11,Sofiivka,,46.5899276,32.2622886,River water,Whole water with determination on each separate phase (sum of all phases),,,0.1,,,,Dnieper river,Dnieper river basub,,,Spot sampling,surface-water,,,,,,
23153,Destruction of the Kakhovka Dam LC,Real Sample,Surface water from Radisnyi Sad in Ukraine after Kakhovka dam deconstruction DnieperII-04 Neg,"Thu, 06/15/2023 - 03:00","Wed, 08/30/2023 - 03:00",11,Radisnyi Sad,,46.90646,31.993389,River water,Whole water with determination on each separate phase (sum of all phases),,,0.1,,,,Dnieper river,Dnieper river basin,,,Spot sampling,surface-water,,,,,,
23155,Destruction of the Kakhovka Dam LC,Real Sample,Surface water from Dmytrivka in Ukraine after Kakhovka dam deconstruction DnieperII-05 Neg,"Thu, 06/15/2023 - 03:00","Wed, 08/30/2023 - 03:00",11,Dmytrivka,,46.631319,31.720542,River water,Whole water with determination on each separate phase (sum of all phases),,,0.1,,,,Dnieper river,Dnieper river basin,,,Spot sampling,surface-water,,,,,,
23156,Destruction of the Kakhovka Dam LC,Real Sample,Surface water from Snihurivka in Ukraine after Kakhovka dam deconstruction DnieperII-06 Neg,"Thu, 06/15/2023 - 03:00","Wed, 08/30/2023 - 03:00",11,Snihurivka,,47.075276,32.823702,River water,Whole water with determination on each separate phase (sum of all phases),,,0.1,,,,Dnieper river,Dnieper river basin,,,Spot sampling,surface-water,,,,,,
23157,Destruction of the Kakhovka Dam LC,Real Sample,Surface water from Afanasiivka in Ukraine after Kakhovka dam deconstruction DnieperII-07,"Thu, 06/15/2023 - 03:00","Wed, 08/30/2023 - 03:00",11,Afanasiivka,,47.0188465,32.8173017,River water,Whole water with determination on each separate phase (sum of all phases),,,0.1,,,,Dnieper river,Dnieper river basin,,,Spot sampling,surface-water,,,,,,
23158,Destruction of the Kakhovka Dam LC,Real Sample,Surface water from Kherson in Ukraine after Kakhovka dam deconstruction DnieperII-08 Neg,"Tue, 07/04/2023 - 03:00","Wed, 08/30/2023 - 03:00",11,Kherson,,46.695732,31.974504,River water,Whole water with determination on each separate phase (sum of all phases),,,0.1,,,,Dnieper river,Dnieper river basin,,,Spot sampling,surface-water,,,,,,
23159,Destruction of the Kakhovka Dam LC,Real Sample,Surface water from Bilozirka in Ukraine after Kakhovka dam deconstruction DnieperII-09 Neg,"Tue, 07/04/2023 - 03:00","Wed, 08/30/2023 - 03:00",11,Bilozirka,,46.632732,32.4526916,River water,Whole water with determination on each separate phase (sum of all phases),,,0.1,,,,Dnieper river,Dnieper river basin,,,Spot sampling,surface-water,,,,,,
23160,Destruction of the Kakhovka Dam LC,Real Sample,Surface water from Odesa in Ukraine after Kakhovka dam deconstruction DnieperII-10 Neg,"Wed, 07/05/2023 - 03:00","Wed, 08/30/2023 - 03:00",11,Odesa,,46.39935,30.7603,River water,,,,0.1,,,,Dnieper river,Dnieper river basin,,,Spot sampling,surface-water,,,,,,
23161,Destruction of the Kakhovka Dam LC,Real Sample,Surface water from Odesa in Ukraine after Kakhovka dam deconstruction DnieperII-11 Neg,"Thu, 07/06/2023 - 03:00","Wed, 08/30/2023 - 03:00",11,Odesa,,46.438433,30.7725,River water,Whole water with determination on each separate phase (sum of all phases),,,0.1,,,,Dnieper river,Dnieper river,,,Spot sampling,surface-water,,,,,,
23126,Destruction of the Kakhovka Dam LC,Blank Sample,Blank sediment for Kakhovka dam deconstruction project,"Tue, 07/04/2023 - 03:00","Sat, 08/26/2023 - 03:00",10,Kherson,,47.02,32.8,,,,,,,,,,Dnieper river basin,,,,sediment,Dnieper river,,,,,
23140,Destruction of the Kakhovka Dam LC,Real Sample,Sediment from Kherson in Ukraine after Kakhovka dam deconstruction DnieperII-13,"Thu, 06/15/2023 - 03:00","Wed, 08/30/2023 - 03:00",10,Kherson,,46.63497,32.6335479,,,,,,,,,,Dnieper river basin,,,Spot sampling,sediment,Dnieper river,(Whole) Fraction < 2mm,,Sediment-River water,,
23141,Destruction of the Kakhovka Dam LC,Real Sample,Sediment from Bilozirka in Ukraine after Kakhovka dam deconstruction DnieperII-14,"Thu, 06/15/2023 - 03:00","Wed, 08/30/2023 - 03:00",10,Bilozirka,,46.6327228,32.4526822,,,,,,,,,,Dnieper river basin,,,Spot sampling,sediment,Dnieper river,(Whole) Fraction < 2mm,,Sediment-River water,,
23142,Destruction of the Kakhovka Dam LC,Real Sample,Sediment from Dmytrivka in Ukraine after Kakhovka dam deconstruction DnieperII-15,"Thu, 06/15/2023 - 03:00","Wed, 08/30/2023 - 03:00",10,Dmytrivka,,46.631319,31.720542,,,,,,,,,,Dnieper river basub,,,Spot sampling,sediment,Dnieper river,(Whole) Fraction < 2mm,,Sediment-River water,,
23143,Destruction of the Kakhovka Dam LC,Real Sample,Sediment from Snihurivka in Ukraine after Kakhovka dam deconstruction DnieperII-16,"Thu, 06/15/2023 - 03:00","Wed, 08/30/2023 - 03:00",10,Snihurivka,,47.075276,32.823702,,,,,,,,,,Dnieper river basin,,,Spot sampling,sediment,Dnieper river,(Whole) Fraction < 2mm,,Sediment-River water,,
23144,Destruction of the Kakhovka Dam LC,Real Sample,Sediment from Kherson in Ukraine after Kakhovka dam deconstruction DnieperII-17,"Tue, 07/04/2023 - 03:00","Wed, 08/30/2023 - 03:00",10,Kherson,,46.695732,31.974504,,,,,0.1,,,,,Dnieper river basin,,,Spot sampling,sediment,Dnieper river,(Whole) Fraction < 2mm,,Sediment-River water,,
23145,Destruction of the Kakhovka Dam LC,Real Sample,Sediment from Bilozirka in Ukraine after Kakhovka dam deconstruction DnieperII-18,"Tue, 07/04/2023 - 03:00","Wed, 08/30/2023 - 03:00",10,Bilozirka,,46.632732,32.4526916,,,,,0.1,,,,,Dnieper river basin,,,Spot sampling,sediment,Dnieper river,(Whole) Fraction < 2mm,,Sediment-River water,,
23146,Destruction of the Kakhovka Dam LC,Real Sample,Sediment from Snihurivka in Ukraine after Kakhovka dam deconstruction DnieperII-19,"Tue, 07/04/2023 - 03:00","Wed, 08/30/2023 - 03:00",10,Snihurivka,,47.075337,32.8242329,,,,,0.1,,,,,Dnieper river basin,,,Spot sampling,sediment,Dnieper river,(Whole) Fraction < 2mm,,Sediment-River water,,
23147,Destruction of the Kakhovka Dam LC,Real Sample,Sediment from Afanasiivka in Ukraine after Kakhovka dam deconstruction DnieperII-20,"Tue, 07/04/2023 - 03:00","Wed, 08/30/2023 - 03:00",10,Afanasiivka,,47.019011,32.817272,,,,,0.1,,,,,Dnieper river basin,,,Spot sampling,sediment,Dnieper river,(Whole) Fraction < 2mm,,Sediment-River water,,
23149,Destruction of the Kakhovka Dam LC,Blank Sample,Blank sediment for Kakhovka dam deconstruction project Neg,"Tue, 07/04/2023 - 03:00","Wed, 08/30/2023 - 03:00",11,Kherson,,47.01,32.71,,,,,0.1,,,,,Dnieper river basin,,,Spot sampling,sediment,Dnieper river,(Whole) Fraction < 2mm,,Sediment-River water,,
23163,Destruction of the Kakhovka Dam LC,Real Sample,Sediment from Kherson in Ukraine after Kakhovka dam deconstruction DnieperII-13 Neg,"Thu, 06/15/2023 - 03:00","Wed, 08/30/2023 - 03:00",11,Kherson,,46.63497,32.6335479,,,,,0.1,,,,,Dnieper river basin,,,Spot sampling,sediment,Dnieper river,(Whole) Fraction < 2mm,,Sediment-River water,,
23164,Destruction of the Kakhovka Dam LC,Real Sample,Sediment from Bilozirka in Ukraine after Kakhovka dam deconstruction DnieperII-14 Neg,"Thu, 06/15/2023 - 03:00","Wed, 08/30/2023 - 03:00",11,Bilozirka,,46.6327228,32.4526822,,,,,0.1,,,,,Dnieper river basin,,,Spot sampling,sediment,Dnieper river,(Whole) Fraction < 2mm,,Sediment-River water,,
23165,Destruction of the Kakhovka Dam LC,Real Sample,Sediment from Dmytrivka in Ukraine after Kakhovka dam deconstruction DnieperII-15 Neg,"Thu, 06/15/2023 - 03:00","Wed, 08/30/2023 - 03:00",11,Dmytrivka,,46.631319,31.720542,,,,,0.1,,,,,Dnieper river basin,,,Spot sampling,sediment,Dnieper river,(Whole) Fraction < 2mm,,Sediment-River water,,
23166,Destruction of the Kakhovka Dam LC,Real Sample,Sediment from Snihurivka in Ukraine after Kakhovka dam deconstruction DnieperII-16 Neg,"Thu, 06/15/2023 - 03:00","Wed, 08/30/2023 - 03:00",11,Snihurivka,,47.075276,32.823702,,,,,0.1,,,,,Dnieper river basin,,,Spot sampling,sediment,Dnieper river,(Whole) Fraction < 2mm,,Sediment-River water,,
23167,Destruction of the Kakhovka Dam LC,Real Sample,Sediment from Kherson in Ukraine after Kakhovka dam deconstruction DnieperII-17 Neg,"Tue, 07/04/2023 - 03:00","Wed, 08/30/2023 - 03:00",11,Kherson,,46.695732,31.974504,,,,,0.1,,,,,Dnieper river basin,,,Spot sampling,sediment,Dnieper river,(Whole) Fraction < 2mm,,Sediment-River water,,
23168,Destruction of the Kakhovka Dam LC,Real Sample,Sediment from Bilozirka in Ukraine after Kakhovka dam deconstruction DnieperII-18 Neg,"Tue, 07/04/2023 - 03:00","Wed, 08/30/2023 - 03:00",11,Bilozirka,,46.632732,32.4526916,,,,,0.1,,,,,Dnieper river basin,,,Spot sampling,sediment,Dnieper river,(Whole) Fraction < 2mm,,Sediment-River water,,
23169,Destruction of the Kakhovka Dam LC,Real Sample,Sediment from Snihurivka in Ukraine after Kakhovka dam deconstruction DnieperII-19 Neg,"Tue, 07/04/2023 - 03:00","Wed, 08/30/2023 - 03:00",11,Snihurivka,,47.075337,32.8242329,,,,,0.1,,,,,Dnieper river basin,,,Spot sampling,sediment,Dnieper river,(Whole) Fraction < 2mm,,Sediment-River water,,
23170,Destruction of the Kakhovka Dam LC,Real Sample,Sediment from Afanasiivka in Ukraine after Kakhovka dam deconstruction DnieperII-20 Neg,"Tue, 07/04/2023 - 03:00","Wed, 08/30/2023 - 03:00",11,Afanasiivka,,47.019011,32.817272,,,,,0.1,,,,,Dnieper river basin,,,Spot sampling,sediment,Dnieper river,(Whole) Fraction < 2mm,,Sediment-River water,,
23139,Destruction of the Kakhovka Dam LC,Real Sample,Groundwater from Bilozerka in Ukraine after Kakhovka dam deconstruction DnieperII-12,"Tue, 07/04/2023 - 03:00","Wed, 08/30/2023 - 03:00",10,Bilozerka,,46.6295518,32.4423517,,,,,,,,,,Dnieper river basin,,,Spot sampling,groundwater,,,,,,Whole water with determination on each separate phase (sum of all phases)
23162,Destruction of the Kakhovka Dam LC,Real Sample,Groundwater from Bilozerka in Ukraine after Kakhovka dam deconstruction DnieperII-12 Neg,"Tue, 07/04/2023 - 03:00","Wed, 08/30/2023 - 03:00",11,Bilozerka,,46.6295518,32.4423517,,,,,0.1,,,,,Dnieper river basin,,,Spot sampling,groundwater,,,,,,Whole water with determination on each separate phase (sum of all phases)
