ID,Collection,Sample type,Short name for contribution,Sampling date,Analysis date,Instrument setup used,Monitored City,Monitored country,Latitude,Longitude,Name of surface water (river/estuary/lake/reservoir/sea),Sediment Fraction,Origin of Sediment,Sediment Type,River basin name,Proxy pressures,Type of sampling depth,Distance from the river source (km),Depth (m),Sludge total organic carbon (% of total dry weight),matrix,Alive or not,Basis of measurement,Biota species name (in Latin),Fat content (% of total wet matter),"Name of river, estuary, lake, reservoir, sea",Number of orgnanisms,Origin of biota,Size (mm),Species group,Tissue,Water content(%),Weight (kg),field_country,Type of Surface water,Surface water fraction,Surface of the area (km^2),SPM concentration (mg/L),pH,Temperature (°C),Dissolved organic carbon (mg/L),"Name of river, estuary, lake, reservoir or sea"
21421,Dniester Monitoring,Blank Sample,Procedural blank biota Dniester,"Sun, 05/26/2019 - 22:00","Sun, 04/21/2019 - 22:00",LC-Bruker maXis QTOF: Submission #11,Odesa,Ukraine,46.47,30.73,,,,,Dniester river basin,,,,,,biota,1.0,Dry weight,,,Dniester river basin,,River,,Fish (22486),Muscel,,,Ukraine,,,,,,,,
21422,Dniester Monitoring,Blank Sample,Procedural blank biota Dniester,"Sun, 05/26/2019 - 22:00","Sun, 04/21/2019 - 22:00",LC-Bruker maXis QTOF: Submission #10,Odesa,Ukraine,46.47,30.73,,,,,Dniester river basin,,,,,,biota,1.0,Dry weight,,,Dniester river basin,,River,,Fish (22486),Muscel,,,Ukraine,,,,,,,,
21423,Dniester Monitoring,Real Sample,Biota from Station 12 Ustia,"Sun, 05/26/2019 - 22:00","Sun, 04/21/2019 - 22:00",LC-Bruker maXis QTOF: Submission #11,Chisinau,Moldova,47.25222222,29.13527778,,,,,Dniester river basin,,,,,,biota,1.0,Dry weight,,,Dniester river basin,,River,,Fish (22486),Muscel,,,Moldova,,,,,,,,
21424,Dniester Monitoring,Real Sample,Biota from Station 12 Ustia,"Sun, 05/26/2019 - 22:00","Sun, 04/21/2019 - 22:00",LC-Bruker maXis QTOF: Submission #10,Chisinau,Moldova,47.25222222,29.13527778,,,,,Dniester river basin,,,,,,biota,1.0,Dry weight,,,Dniester river basin,,River,,Fish (22486),Muscel,,,Moldova,,,,,,,,
21425,Dniester Monitoring,Real Sample,Biota from Station 06 Shabo,"Sat, 05/25/2019 - 22:00","Sat, 04/20/2019 - 22:00",LC-Bruker maXis QTOF: Submission #11,Bilhorod-Dnistrovs'kyy,Ukraine,46.13444444,30.37111111,,,,,Dniester river basin,,,,,,biota,1.0,Dry weight,,,Dniester river basin,,River,,Fish (22486),Muscel,,,Ukraine,,,,,,,,
21426,Dniester Monitoring,Real Sample,Biota from Station 06 Shabo,"Sat, 05/25/2019 - 22:00","Sat, 04/20/2019 - 22:00",LC-Bruker maXis QTOF: Submission #10,Bilhorod-Dnistrovs'kyy,Ukraine,46.13444444,30.37111111,,,,,Dniester river basin,,,,,,biota,1.0,Dry weight,,,Dniester river basin,,River,,Fish (22486),Muscel,,,Ukraine,,,,,,,,
21427,Dniester Monitoring,Real Sample,Biota from Station 05 Cioburciu,"Sat, 05/25/2019 - 22:00","Sat, 04/20/2019 - 22:00",LC-Bruker maXis QTOF: Submission #11,Tiraspol',Moldova,46.60027778,29.72138889,,,,,Dniester river basin,,,,,,biota,1.0,Dry weight,,,Dniester river basin,,River,,Fish (22486),Muscel,,,Moldova,,,,,,,,
21428,Dniester Monitoring,Real Sample,Biota from Station 05 Cioburciu,"Sat, 05/25/2019 - 22:00","Sat, 04/20/2019 - 22:00",LC-Bruker maXis QTOF: Submission #10,Tiraspol',Moldova,46.60027778,29.72138889,,,,,Dniester river basin,,,,,,biota,1.0,Dry weight,,,Dniester river basin,,River,,Fish (22486),Muscel,,,Moldova,,,,,,,,
21429,Dniester Monitoring,Blank Sample,Procedural blank surface water Dniester,"Sun, 05/26/2019 - 22:00","Sun, 04/21/2019 - 22:00",11,Chisinau,Moldova,47.03,28.83,,,,,Dniester river basin,,,,0.5,,surface-water,,,,,,,,,,,,,,,Whole water with determination on each separate phase (sum of all phases),,,,,,Dniester river basin
21430,Dniester Monitoring,Blank Sample,Procedural blank surface water Dniester,"Sun, 05/26/2019 - 22:00","Sun, 04/21/2019 - 22:00",10,Chisinau,Moldova,47.03,28.83,,,,,Dniester river basin,,,,0.5,,surface-water,,,,,,,,,,,,,,,Whole water with determination on each separate phase (sum of all phases),,,,,,Dniester river basin
21431,Dniester Monitoring,Real Sample,Station 13 Hradenytsi,"Sat, 05/25/2019 - 22:00","Sat, 04/20/2019 - 22:00",11,Odesa,Ukraine,46.60638889,29.98361111,,,,,Dniester river basin,,,,0.5,,surface-water,,,,,,,,,,,,,,,Whole water with determination on each separate phase (sum of all phases),,,,,,Dniester river basin
21432,Dniester Monitoring,Real Sample,Station 13 Hradenytsi,"Sat, 05/25/2019 - 22:00","Sat, 04/20/2019 - 22:00",10,Odesa,Ukraine,46.60638889,29.98361111,,,,,Dniester river basin,,,,0.5,,surface-water,,,,,,,,,,,,,,,Whole water with determination on each separate phase (sum of all phases),,,,,,Dniester river basin
21433,Dniester Monitoring,Real Sample,Station 12 Ustia,"Sun, 05/26/2019 - 22:00","Sun, 04/21/2019 - 22:00",11,Chisinau,Moldova,47.25222222,29.13527778,,,,,Dniester river basin,,,,0.5,,surface-water,,,,,,,,,,,,,,,Whole water with determination on each separate phase (sum of all phases),,,,,,Dniester river basin
21434,Dniester Monitoring,Real Sample,Station 12 Ustia,"Sun, 05/26/2019 - 22:00","Sun, 04/21/2019 - 22:00",10,Chisinau,Moldova,47.25222222,29.13527778,,,,,Dniester river basin,,,,0.5,,surface-water,,,,,,,,,,,,,,,Whole water with determination on each separate phase (sum of all phases),,,,,,Dniester river basin
21435,Dniester Monitoring,Real Sample,Station 11 Bulboaca,"Sat, 05/25/2019 - 22:00","Sat, 04/20/2019 - 22:00",11,Chisinau,Moldova,46.89055556,29.30333333,,,,,Dniester river basin,,,,0.5,,surface-water,,,,,,,,,,,,,,,Whole water with determination on each separate phase (sum of all phases),,,,,,Dniester river basin
21436,Dniester Monitoring,Real Sample,Station 11 Bulboaca,"Sat, 05/25/2019 - 22:00","Sat, 04/20/2019 - 22:00",10,Chisinau,Moldova,46.89055556,29.30333333,,,,,Dniester river basin,,,,0.5,,surface-water,,,,,,,,,,,,,,,Whole water with determination on each separate phase (sum of all phases),,,,,,Dniester river basin
21437,Dniester Monitoring,Real Sample,Station 10 Vasyliv,"Sun, 05/26/2019 - 22:00","Sun, 04/21/2019 - 22:00",11,Chernivtsi,Ukraine,48.62138889,25.85777778,,,,,Dniester river basin,,,,0.5,,surface-water,,,,,,,,,,,,,,,Whole water with determination on each separate phase (sum of all phases),,,,,,Dniester river basin
21438,Dniester Monitoring,Real Sample,Station 10 Vasyliv,"Sun, 05/26/2019 - 22:00","Sun, 04/21/2019 - 22:00",10,Chernivtsi,Ukraine,48.62138889,25.85777778,,,,,Dniester river basin,,,,0.5,,surface-water,,,,,,,,,,,,,,,Whole water with determination on each separate phase (sum of all phases),,,,,,Dniester river basin
21439,Dniester Monitoring,Real Sample,Station 09 Mohyliv-Podilskyi,"Sun, 05/26/2019 - 22:00","Sun, 04/21/2019 - 22:00",11,Mohyliv-Podil's'kyy,Ukraine,48.45333333,27.7725,,,,,Dniester river basin,,,,0.5,,surface-water,,,,,,,,,,,,,,,Whole water with determination on each separate phase (sum of all phases),,,,,,Dniester river basin
21440,Dniester Monitoring,Real Sample,Station 09 Mohyliv-Podilskyi,"Sun, 05/26/2019 - 22:00","Sun, 04/21/2019 - 22:00",10,Mohyliv-Podil's'kyy,Ukraine,48.45333333,27.7725,,,,,Dniester river basin,,,,0.5,,surface-water,,,,,,,,,,,,,,,Whole water with determination on each separate phase (sum of all phases),,,,,,Dniester river basin
21441,Dniester Monitoring,Real Sample,Station 08 Pochajevychi,"Tue, 05/28/2019 - 22:00","Tue, 04/23/2019 - 22:00",11,Drohobych,Ukraine,49.36194444,23.57638889,,,,,Dniester river basin,,,,0.5,,surface-water,,,,,,,,,,,,,,,Whole water with determination on each separate phase (sum of all phases),,,,,,Dniester river basin
21442,Dniester Monitoring,Real Sample,Station 08 Pochajevychi,"Tue, 05/28/2019 - 22:00","Tue, 04/23/2019 - 22:00",10,Drohobych,Ukraine,49.36194444,23.57638889,,,,,Dniester river basin,,,,0.5,,surface-water,,,,,,,,,,,,,,,Whole water with determination on each separate phase (sum of all phases),,,,,,Dniester river basin
21443,Dniester Monitoring,Real Sample,Station 07 Poberezhzhya,"Tue, 05/28/2019 - 22:00","Tue, 04/23/2019 - 22:00",11,Ivano-Frankivs'k,Ukraine,49.03527778,24.80888889,,,,,Dniester river basin,,,,0.5,,surface-water,,,,,,,,,,,,,,,Whole water with determination on each separate phase (sum of all phases),,,,,,Dniester river basin
21444,Dniester Monitoring,Real Sample,Station 07 Poberezhzhya,"Tue, 05/28/2019 - 22:00","Tue, 04/23/2019 - 22:00",10,Ivano-Frankivs'k,Ukraine,49.03527778,24.80888889,,,,,Dniester river basin,,,,0.5,,surface-water,,,,,,,,,,,,,,,Whole water with determination on each separate phase (sum of all phases),,,,,,Dniester river basin
21445,Dniester Monitoring,Real Sample,Station 06 Shabo,"Sat, 05/25/2019 - 22:00","Sat, 04/20/2019 - 22:00",11,Bilhorod-Dnistrovs'kyy,Ukraine,46.13444444,30.37111111,,,,,Dniester river basin,,,,0.5,,surface-water,,,,,,,,,,,,,,,Whole water with determination on each separate phase (sum of all phases),,,,,,Dniester river basin
21446,Dniester Monitoring,Real Sample,Station 06 Shabo,"Sat, 05/25/2019 - 22:00","Sat, 04/20/2019 - 22:00",10,Bilhorod-Dnistrovs'kyy,Ukraine,46.13444444,30.37111111,,,,,Dniester river basin,,,,0.5,,surface-water,,,,,,,,,,,,,,,Whole water with determination on each separate phase (sum of all phases),,,,,,Dniester river basin
21447,Dniester Monitoring,Real Sample,Station 05 Cioburciu,"Sat, 05/25/2019 - 22:00","Sat, 04/20/2019 - 22:00",11,Ribnita,Moldova,46.60027778,29.72138889,,,,,Dniester river basin,,,,0.5,,surface-water,,,,,,,,,,,,,,,Whole water with determination on each separate phase (sum of all phases),,,,,,Dniester river basin
21448,Dniester Monitoring,Real Sample,Station 05 Cioburciu,"Sat, 05/25/2019 - 22:00","Sat, 04/20/2019 - 22:00",10,Ribnita,Moldova,46.60027778,29.72138889,,,,,Dniester river basin,,,,0.5,,surface-water,,,,,,,,,,,,,,,Whole water with determination on each separate phase (sum of all phases),,,,,,Dniester river basin
21449,Dniester Monitoring,Real Sample,Station 04 Rezina,"Sun, 05/26/2019 - 22:00","Sun, 04/21/2019 - 22:00",11,Ribnita,Moldova,47.74388889,28.97694444,,,,,Dniester river basin,,,,0.5,,surface-water,,,,,,,,,,,,,,,Whole water with determination on each separate phase (sum of all phases),,,,,,Dniester river basin
21450,Dniester Monitoring,Real Sample,Station 04 Rezina,"Sun, 05/26/2019 - 22:00","Sun, 04/21/2019 - 22:00",10,Ribnita,Moldova,47.74388889,28.97694444,,,,,Dniester river basin,,,,0.5,,surface-water,,,,,,,,,,,,,,,Whole water with determination on each separate phase (sum of all phases),,,,,,Dniester river basin
21451,Dniester Monitoring,Real Sample,Station 03 Soroca,"Sun, 05/26/2019 - 22:00","Sun, 04/21/2019 - 22:00",11,Soroca,Moldova,48.14083333,28.30388889,,,,,Dniester river basin,,,,0.5,,surface-water,,,,,,,,,,,,,,,Whole water with determination on each separate phase (sum of all phases),,,,,,Dniester river basin
21452,Dniester Monitoring,Real Sample,Station 03 Soroca,"Sun, 05/26/2019 - 22:00","Sun, 04/21/2019 - 22:00",10,Soroca,Moldova,48.14083333,28.30388889,,,,,Dniester river basin,,,,0.5,,surface-water,,,,,,,,,,,,,,,Whole water with determination on each separate phase (sum of all phases),,,,,,Dniester river basin
21453,Dniester Monitoring,Real Sample,Station 02 Zalishchyky Park,"Mon, 05/27/2019 - 22:00","Mon, 04/22/2019 - 22:00",11,Zalishchyky,Ukraine,48.63444444,25.73555556,,,,,Dniester river basin,,,,0.5,,surface-water,,,,,,,,,,,,,,,Whole water with determination on each separate phase (sum of all phases),,,,,,Dniester river basin
21454,Dniester Monitoring,Real Sample,Station 02 Zalishchyky Park,"Mon, 05/27/2019 - 22:00","Mon, 04/22/2019 - 22:00",10,Zalishchyky,Ukraine,48.63444444,25.73555556,,,,,Dniester river basin,,,,0.5,,surface-water,,,,,,,,,,,,,,,Whole water with determination on each separate phase (sum of all phases),,,,,,Dniester river basin
21455,Dniester Monitoring,Real Sample,Station 01 Vovche,"Tue, 05/28/2019 - 22:00","Tue, 04/23/2019 - 22:00",11,Turka,Ukraine,49.205,22.91916667,,,,,Dniester river basin,,,,0.5,,surface-water,,,,,,,,,,,,,,,Whole water with determination on each separate phase (sum of all phases),,,,,,Dniester river basin
21456,Dniester Monitoring,Real Sample,Station 01 Vovche,"Tue, 05/28/2019 - 22:00","Tue, 04/23/2019 - 22:00",10,Turka,Ukraine,49.205,22.91916667,,,,,Dniester river basin,,,,0.5,,surface-water,,,,,,,,,,,,,,,Whole water with determination on each separate phase (sum of all phases),,,,,,Dniester river basin
